Year,Spawner,Return
1968,115545,960169
1969,72901.1,430947
1970,101794.4,550923
1971,406713.62,986397
1972,431058,2547851
1973,507072,2125986
1974,209836,788067
1975,184262,1055373
1976,507440,1506012
1977,951038,3112620
1978,511781,3785040
1979,373810,1321039
1980,615382,2673295
1981,535523.71,2464323
1982,755672.0305,9587700
1983,792765.1529,9486794
1984,446297.2494,3859109
1985,573760.9818,2587921
1986,555207.2931,2165138
1987,2011657.058,10356627
1988,1212865.097,2546639
1989,2026618.57,4458679
1990,794615.5276,1507693
1991,727145.9372,4436074
1992,1207381.856,4271576
1993,997693.1657,1689779
1994,1309669.386,3052634
1995,776846.697,1899870
1996,963108.1629,2261757
1997,1365676.472,3626402
1998,929090.2205,4465328
1999,949276.0713,5755062.546
2000,696898.6397,7058333.209
2001,738228.7952,1697957.154
2002,1126616.052,3628712.129
2003,1402292.052,1919812.927
2004,1690546.704,3236599.998
2005,1654003.175,4804018.122
2006,1892090.211,5006280.451
2007,964242.5431,4378677.896
2008,708805.1842,3380397.446
2009,848116.5098,3809455.392
2010,1038301.979,3625388.218
2011,1280732.632,4513814.625
2012,1212921.414,1490133.737
